name,URL,author,publisher,date,price,date,price,rate,comment
可能性的艺术,https://book.douban.com/subject/35819419/,刘瑜 , 广西师范大学出版社 , 2022-4 , 82.00元, 2022-4 , 82.00元,9.2,空
教父,https://book.douban.com/subject/1092335/,[美]马里奥·普佐 , 译林出版社 , 1997-8 , 23.30元, 1997-8 , 23.30元,9.0,“教父三部曲”电影原著
巨人的陨落,https://book.douban.com/subject/26698660/,[英] 肯·福莱特 , 江苏凤凰文艺出版社 , 2016-5-1 , 129.80元, 2016-5-1 , 129.80元,8.9,五个家族，一场战争
海子的诗,https://book.douban.com/subject/1011754/,海子 , 人民文学出版社 , 1999-04 , 15.40, 1999-04 , 15.40,9.0,空
看不见的城市,https://book.douban.com/subject/10555509/,[意] 伊塔洛·卡尔维诺 , 译林出版社 , 2012-4 , 25.00元, 2012-4 , 25.00元,9.0,空
失明症漫记,https://book.douban.com/subject/20428302/,[葡] 若泽·萨拉马戈 , 南海出版公司 , 2014-2 , 29.50, 2014-2 , 29.50,9.1,失明症迅速蔓延，整个城市陷入一场空前的灾难
始于极限,https://book.douban.com/subject/35966120/,[日] 上野千鹤子 , 新星出版社 , 2022-9-20 , 59, 2022-9-20 , 59,9.1,空
人生的枷锁,https://book.douban.com/subject/2035171/,[英] 毛姆 , 上海译文出版社 , 2007-3 , 32.00元, 2007-3 , 32.00元,9.1,在混沌纷扰的生活漩流中，寻求人生的真谛
叫魂,https://book.douban.com/subject/10471333/,[美] 孔飞力 , 生活·读书·新知三联书店 上海三联书店 , 2012-5 , 38.00元, 2012-5 , 38.00元,9.1,1768年中国妖术大恐慌
斯通纳,https://book.douban.com/subject/26425831/,[美] 约翰·威廉斯 , 上海人民出版社 , 2016-1 , 49.00元, 2016-1 , 49.00元,8.8,即使不能拥有完美的生活，所幸追求过完整的自我
人生的智慧,https://book.douban.com/subject/3261600/,(德)叔本华 , 上海人民出版社 , 2008-10-01 , 28.00元, 2008-10-01 , 28.00元,9.2,对世俗、实用问题深刻而透彻的讨论
飞鸟集,https://book.douban.com/subject/1058661/,[印] 罗宾德拉纳德·泰戈尔 , 哈尔滨出版社 , 2004-6 , 16.80元, 2004-6 , 16.80元,8.9,一个淡泊清透的世界
绝叫,https://book.douban.com/subject/35031587/,[日] 叶真中显 , 北京联合出版公司 , 2020-7 , 58.00元, 2020-7 , 58.00元,8.9,空
也许你该找个人聊聊,https://book.douban.com/subject/35481512/,[美]洛莉·戈特利布 ,上海文化出版社 , 2021-7-28 , 68.00元, 2021-7-28 , 68.00元,9.0,空
棋王·树王·孩子王,https://book.douban.com/subject/26734559/,阿城 , 江苏凤凰文艺出版社 , 2016-3-1 , 58.00, 2016-3-1 , 58.00,9.3,空
鹿鼎记,https://book.douban.com/subject/1212893/,金庸 , 广州出版社 花城出版社 , 2008-3 , 108.00元, 2008-3 , 108.00元,8.9,武侠的解构，流氓的狂欢
梦里花落知多少,https://book.douban.com/subject/2070844/,三毛 , 北京十月文艺出版社 , 2007-6 , 28.00元, 2007-6 , 28.00元,8.8,哀而不伤
桶川跟踪狂杀人事件,https://book.douban.com/subject/35094680/,[日] 清水洁 , 四川人民出版社 , 2021-2 , 45.00元, 2021-2 , 45.00元,9.0,空
边城,https://book.douban.com/subject/1057244/,沈从文 , 北岳文艺出版社 , 2002-4 , 12.00元, 2002-4 , 12.00元,8.7,一切充满了善，然而到处是不凑巧
陆犯焉识,https://book.douban.com/subject/6880158/,严歌苓 , 作家出版社 , 2011-10 , 35.00元, 2011-10 , 35.00元,8.9,翻手为苍凉，覆手为繁华
这些人，那些事,https://book.douban.com/subject/6388661/,吴念真 , 译林出版社 , 2011-9 , 28.00元, 2011-9 , 28.00元,8.8,平淡叙述下的惊心动魄
